Accession,locus_tag,combined_genome_count,number_of_clades_detected,n_vfg_for_locus
VFG037853(gb|YP_001083146),A1S_0049,1,1,1
VFG036181(gb|WP_015815989),,3,1,
VFG036202(gb|WP_193363961),,1,1,
VFG036227(gb|WP_173277174),,1,1,
VFG036236(gb|WP_187287147),,1,1,
VFG036238(gb|WP_180302249),,1,1,
VFG036247(gb|WP_193363952),,1,1,
VFG036263(gb|WP_180303007),,1,1,
VFG036264(gb|WP_193363957),,1,1,
VFG036265,,5,1,
VFG036266(gb|WP_193363949),,1,1,
VFG036268(gb|WP_179099411),,1,1,
VFG036269(gb|WP_079875848),,1,1,
VFG036270(gb|WP_118868808),,1,1,
VFG036991(gb|WP_002246381),,1,1,
VFG036992(gb|WP_002224969),,1,1,
VFG036993(gb|WP_010951248),,1,1,
VFG036994(gb|WP_002220428),,1,1,
VFG036996(gb|WP_003695678),,1,1,
VFG036997(gb|WP_014580612),,1,1,
VFG036998(gb|WP_014573843),,1,1,
VFG036999(gb|WP_002258682),,1,1,
VFG037000(gb|WP_014575520),,1,1,
VFG037001(gb|WP_002216629),,1,1,
VFG037002(gb|WP_014575520),,1,1,
VFG037003(gb|WP_002220428),,1,1,
VFG037005(gb|WP_014582208),,1,1,
VFG037008(gb|WP_013448560),,1,1,
VFG037271,,1,1,
VFG037272(gb|WP_001281555),,1,1,
VFG037273(gb|WP_001281554),,1,1,
VFG037274(gb|WP_001281538),,1,1,
VFG037277(gb|WP_031967279),,1,1,
VFG037278(gb|WP_139161447),,1,1,
VFG037280(gb|WP_001281545),,1,1,
VFG037355(gb|WP_001073031),,1,1,
VFG037358(gb|WP_001073030),,1,1,
VFG037440(gb|WP_000910246),,1,1,
VFG037442(gb|WP_000910253),,1,1,
VFG037448(gb|WP_000910262),,1,1,
VFG037512(gb|WP_079740461),,1,1,
VFG037513(gb|WP_085947930),,1,1,
VFG037514(gb|WP_086225839),,1,1,
VFG037520(gb|WP_000837763),,1,1,
VFG037521(gb|WP_000837764),,1,1,
VFG037635(gb|WP_193759791),,1,1,
VFG037636(gb|WP_001187640),,3,1,
VFG037641(gb|WP_078197625),,1,1,
VFG037642(gb|WP_020753413),,3,1,
VFG037643(gb|WP_158318336),,3,1,
VFG037644(gb|WP_031961704),,1,1,
VFG037647(gb|WP_000913306),,2,1,
VFG037648(gb|WP_000913301),,2,1,
VFG037650,,2,1,
VFG037654(gb|WP_038346670),,2,1,
VFG037656(gb|WP_000913297),,2,1,
VFG037790(gb|WP_000064875),,1,1,
VFG037792(gb|WP_000064875),,1,1,
VFG037796(gb|WP_000064875),,1,1,
VFG037798(gb|WP_000064877),,1,1,
VFG037801(gb|WP_000064875),,1,1,
VFG037850(gb|WP_001075963),,1,1,
VFG037851(gb|WP_000209932),,1,1,
VFG037852(gb|WP_001075965),,2,2,
VFG037855(gb|WP_001075978),,2,2,
VFG037857(gb|WP_001075969),,1,1,
VFG037858(gb|WP_001075975),,2,2,
VFG037859(gb|WP_000209939),,1,1,
VFG037861(gb|WP_001075971),,1,1,
VFG037963(gb|WP_001062745),,1,1,
VFG038108(gb|WP_000045491),,1,1,
VFG038121(gb|WP_001062922),,2,1,
VFG038127(gb|WP_000045503),,1,1,
VFG038132(gb|WP_000045495),,1,1,
VFG038133(gb|WP_000209956),,1,1,
VFG038139(gb|WP_001062905),,2,1,
VFG038142(gb|WP_000045499),,1,1,
VFG038144(gb|WP_001062908),,2,1,
VFG038150(gb|WP_000209936),,1,1,
VFG038152(gb|WP_001062915),,2,1,
VFG038153(gb|WP_001062906),,2,1,
VFG038155(gb|WP_000209960),,1,1,
VFG038159(gb|WP_001062904),,1,1,
VFG038162(gb|WP_000209937),,1,1,
VFG038163(gb|WP_000045509),,1,1,
VFG038167(gb|WP_000209958),,1,1,
VFG038168(gb|WP_001062920),,2,1,
VFG038170(gb|WP_000209955),,1,1,
VFG038174(gb|WP_000777885),,1,1,
VFG038176(gb|WP_000777882),,1,1,
VFG038180(gb|WP_000777877),,1,1,
VFG038182(gb|WP_000777875),,1,1,
VFG038185(gb|WP_000777881),,1,1,
VFG038202,,1,1,
VFG038203(gb|WP_000446790),,1,1,
VFG038205(gb|WP_000446779),,1,1,
VFG038208(gb|WP_000446790),,1,1,
VFG038209(gb|WP_020752695),,1,1,
VFG038211(gb|WP_000446790),,1,1,
VFG038231(gb|WP_000472465),,1,1,
VFG038232(gb|WP_001985884),,1,1,
VFG038237(gb|WP_000226704),,1,1,
VFG038238(gb|WP_000226703),,1,1,
VFG038240(gb|WP_043960856),,1,1,
VFG038243(gb|WP_134815986),,1,1,
VFG038432(gb|WP_016352168),,6,1,
VFG038433(gb|WP_005314160),,6,1,
VFG038678(gb|WP_011705284),,1,1,
VFG038679(gb|WP_016350055),,1,1,
VFG038755(gb|WP_011706626),,70,1,
VFG038765,,1,1,
VFG038916(gb|WP_011705263),,10793,2,
VFG040946(gb|WP_000942795),,1,1,
VFG040947(gb|WP_000094974),,1,1,
VFG041012(gb|NP_250202),,11485,2,
VFG041013(gb|NP_250203),,9840,2,
VFG041014(gb|NP_250347),,11564,2,
VFG041015(gb|NP_250348),,10806,2,
VFG041016(gb|NP_250349),,11560,2,
VFG041017(gb|NP_250350),,10677,2,
VFG041018(gb|NP_250351),,11563,2,
VFG041019(gb|NP_250352),,11185,2,
VFG041020(gb|NP_250353),,11560,2,
VFG041021(gb|NP_250354),,11560,2,
VFG041022(gb|NP_250355),,10560,2,
VFG041023(gb|NP_250356),,11564,2,
VFG041024(gb|NP_250357),,10807,2,
VFG041025(gb|NP_250358),,11564,2,
VFG041026(gb|NP_250359),,10846,2,
VFG041027(gb|NP_250360),,11564,2,
VFG041028(gb|NP_250361),,10826,2,
VFG041029(gb|NP_250362),,10994,2,
VFG041051(gb|WP_000103125),,1,1,
VFG042030(gb|WP_011003508),,1,1,
VFG042211(gb|WP_003134054),,2628,2,
VFG042379(gb|ABQ43330),,1,1,
VFG042380(gb|ABQ43328),,1,1,
VFG042381(gb|ABQ42352),,1,1,
VFG042399(gb|WP_001303867),,1,1,
VFG042400,,1,1,
VFG042401(gb|WP_001165677),,1,1,
VFG042404,,1,1,
VFG042707(gb|WP_003141489),,134,2,
VFG042708(gb|WP_003141491),,134,2,
VFG042709(gb|WP_003141493),,139,2,
VFG042710(gb|WP_003141495),,135,2,
VFG042725(gb|WP_001189321),,1,1,
VFG042726(gb|WP_001267015),,1,1,
VFG042732(gb|WP_002218144),,1,1,
VFG042733(gb|WP_002214937),,1,1,
VFG042800(gb|WP_000360900),,1,1,
VFG043012(gb|NP_250147),,10766,2,
VFG043013(gb|NP_250148),,10836,2,
VFG043014(gb|NP_250149),,11564,2,
VFG043015(gb|NP_250150),,11562,2,
VFG043016(gb|NP_250155),,10810,2,
VFG043074(gb|WP_000884708),,1,1,
VFG043075(gb|WP_001196460),,1,1,
VFG043079(gb|WP_000625837),,1,1,
VFG043081(gb|WP_000589319),,1,1,
VFG043088(gb|WP_000983602),,1,1,
VFG043092(gb|WP_010904770),,1,1,
VFG043094(gb|WP_001322280),,2,1,
VFG043097(gb|WP_001291603),,1,1,
VFG043098(gb|WP_001302091),,1,1,
VFG043101(gb|WP_001087467),,1,1,
VFG043115(gb|WP_001282098),,1,1,
VFG043116(gb|WP_001302429),,1,1,
VFG043452(gb|WP_001170264),,1,1,
VFG043588(gb|WP_001205093),,3,2,
VFG043589(gb|WP_000044536),,7,2,
VFG043614(gb|WP_074194464),,2,1,
VFG043625(gb|WP_000813718),,16,1,
VFG043628,,140,2,
VFG043668(gb|AAA26616),,2,1,
VFG043784(gb|BAC97796),,1,1,
VFG043982(gb|CAA61099),,1,1,
VFG044066(gb|WP_000447001),,2,1,
VFG044225(gb|WP_011533698),,10826,2,
VFG044250(gb|WP_005311724),,6,2,
VFG044257(gb|WP_000610051),,1,1,
VFG044258(gb|WP_001179888),,1,1,
VFG044259(gb|WP_001795559),,1,1,
VFG044261(gb|WP_001223700),,1,1,
VFG044273(gb|WP_001214661),,1,1,
VFG044274(gb|WP_000951636),,1,1,
VFG044277(gb|WP_001052566),,1,1,
VFG044304(gb|WP_000588838),,1,1,
VFG044305(gb|WP_000071884),,1,1,
VFG044310(gb|WP_006486076),,3,1,
VFG044315(gb|WP_012492605),,31,2,
VFG044325(gb|WP_002212761),,1,1,
VFG044328(gb|WP_015874963),,1,1,
VFG044333(gb|WP_015874968),,2,1,
VFG044362(gb|WP_033111968),,5,1,
VFG044443(gb|WP_001032773),,1,1,
VFG045631(gb|WP_002305699),,1,1,
VFG045632(gb|WP_002286924),,1,1,
VFG045670(gb|WP_002286379),,1,1,
VFG045671(gb|WP_002294628),,1,1,
VFG045788(gb|WP_001189322),,1,1,
VFG045789(gb|WP_001264082),,1,1,
VFG045806(gb|WP_000354273),,1,1,
VFG045807(gb|WP_001576295),,1,1,
VFG045820(gb|WP_023281714),,1,1,
VFG045821(gb|WP_023281695),,1,1,
VFG045826(gb|WP_021526504),,1,1,
VFG045878(gb|WP_001295349),,1,1,
VFG045881(gb|WP_014640508),,1,1,
VFG045887(gb|WP_000845152),,1,1,
VFG045894(gb|WP_001330060),,1,1,
VFG045896(gb|WP_014639881),,1,1,
VFG045897(gb|WP_074151099),,1,1,
VFG045899(gb|WP_000845152),,1,1,
VFG045900(gb|WP_000286312),,1,1,
VFG045902,,1,1,
VFG045904(gb|WP_000286318),,1,1,
VFG045906(gb|WP_000286318),,1,1,
VFG045910(gb|WP_012602403),,1,1,
VFG045911(gb|WP_000286337),,1,1,
VFG045912(gb|WP_000286305),,1,1,
VFG045913(gb|WP_000286336),,1,1,
VFG045915(gb|WP_000286313),,1,1,
VFG045916(gb|WP_001165668),,1,1,
VFG045918(gb|WP_001165678),,1,1,
VFG045923(gb|WP_001165655),,1,1,
VFG045926(gb|WP_001165657),,1,1,
VFG045931(gb|WP_001165658),,1,1,
VFG045932,,1,1,
VFG045933(gb|WP_001165671),,1,1,
VFG045935(gb|WP_001165655),,1,1,
VFG045936(gb|WP_000360904),,1,1,
VFG045937(gb|WP_000360914),,1,1,
VFG045939(gb|WP_000360919),,1,1,
VFG045947(gb|WP_000360894),,1,1,
VFG045948(gb|WP_000360902),,1,1,
VFG045950(gb|WP_000360895),,1,1,
VFG045954(gb|WP_000360907),,1,1,
VFG045955(gb|WP_000360915),,1,1,
VFG045956(gb|WP_000360914),,1,1,
VFG045958(gb|WP_000360914),,1,1,
VFG045962(gb|WP_000360904),,1,1,
VFG045972(gb|WP_000360891),,1,1,
VFG045974(gb|WP_001025145),,1,1,
VFG045975,,1,1,
VFG045977(gb|WP_001025182),,1,1,
VFG045984(gb|WP_001025155),,1,1,
VFG045985(gb|WP_001025155),,1,1,
VFG045991(gb|WP_001025168),,1,1,
VFG045992(gb|WP_001025180),,1,1,
VFG045993(gb|WP_001025180),,1,1,
VFG045994(gb|WP_001025178),,1,1,
VFG045995(gb|WP_001025161),,1,1,
VFG045998(gb|WP_001025179),,1,1,
VFG045999(gb|WP_001025168),,1,1,
VFG046000(gb|WP_001025158),,1,1,
VFG046001(gb|WP_001025145),,1,1,
VFG046004(gb|WP_001025178),,1,1,
VFG046009(gb|WP_001025178),,1,1,
VFG046058(gb|WP_000121003),,2,2,
VFG046063(gb|WP_046072797),,1,1,
VFG046068(gb|WP_001189321),,1,1,
VFG046069(gb|WP_001264088),,1,1,
VFG046099(gb|WP_046072850),,1,1,
VFG046109(gb|WP_000654453),,1,1,
VFG046112(gb|WP_046072848),,1,1,
VFG046117(gb|WP_000784549),,2,1,
VFG048297(gb|WP_014906961),,2,1,
VFG048298(gb|WP_072196423),,2,1,
VFG048302(gb|WP_014906960),,1,1,
VFG048304(gb|WP_004151788),,1,1,
VFG048305(gb|WP_004151788),,1,1,
VFG048306(gb|WP_024264619),,1,1,
VFG048307(gb|WP_041937815),,1,1,
VFG048308(gb|WP_004151788),,1,1,
VFG048315(gb|WP_014599252),,1,1,
VFG048316(gb|WP_015958940),,1,1,
VFG048317(gb|WP_014906959),,1,1,
VFG048318(gb|WP_004144030),,1,1,
VFG048371(gb|WP_014839452),,1,1,
VFG048372(gb|WP_014226698),,1,1,
VFG048377(gb|WP_000813718),,16,1,
VFG048379,,16,1,
VFG048380(gb|WP_012967266),,16,1,
VFG048381(gb|WP_000820820),,1,1,
VFG048382(gb|WP_000820820),,1,1,
VFG048414(gb|WP_012542485),,1,1,
VFG048417(gb|WP_014599080),,1,1,
VFG048418(gb|WP_012068427),,1,1,
VFG048419(gb|WP_004210873),,1,1,
VFG048420(gb|WP_012968725),,1,1,
VFG048454(gb|WP_012542489),,1,1,
VFG048456(gb|WP_004147525),,1,1,
VFG048457(gb|WP_004223589),,1,1,
VFG048458(gb|WP_004147525),,1,1,
VFG048459(gb|WP_004147525),,1,1,
VFG048460(gb|WP_008805583),,1,1,
VFG048473(gb|WP_004147521),,1,1,
VFG048476(gb|WP_004223582),,1,1,
VFG048477(gb|WP_004147521),,1,1,
VFG048478(gb|WP_004147521),,1,1,
VFG048479(gb|WP_012968727),,1,1,
VFG048483(gb|WP_012542491),,1,1,
VFG048486(gb|WP_004223579),,1,1,
VFG048487(gb|WP_002893737),,1,1,
VFG048488(gb|WP_002893737),,1,1,
VFG048489(gb|WP_012968728),,1,1,
VFG048493(gb|WP_012542492),,1,1,
VFG048496(gb|WP_014599078),,1,1,
VFG048497(gb|WP_041937591),,1,1,
VFG048498(gb|WP_012737619),,1,1,
VFG048499(gb|WP_012968729),,1,1,
VFG048502(gb|WP_012737618),,1,1,
VFG048503(gb|WP_012542493),,1,1,
VFG048506(gb|WP_004223574),,1,1,
VFG048507(gb|WP_019705362),,1,1,
VFG048508(gb|WP_012737618),,1,1,
VFG048509(gb|WP_012968730),,1,1,
VFG048541(gb|WP_041169040),,1,1,
VFG048542(gb|WP_012542068),,1,1,
VFG048544(gb|WP_002901630),,1,1,
VFG048545(gb|WP_004224251),,1,1,
VFG048546(gb|WP_015958223),,1,1,
VFG048548(gb|WP_020947523),,1,1,
VFG048566(gb|WP_014907271),,1,1,
VFG048578(gb|WP_014907269),,1,1,
VFG048580(gb|WP_014838502),,8,1,
VFG048597(gb|WP_000784549),,2,1,
VFG048599(gb|WP_004213920),,1,1,
VFG048600(gb|WP_004213920),,1,1,
VFG048601(gb|WP_032451968),,1,1,
VFG048603(gb|WP_004213921),,1,1,
VFG048604(gb|WP_004145302),,1,1,
VFG048605(gb|WP_004213922),,1,1,
VFG048606(gb|WP_004213922),,1,1,
VFG048607(gb|WP_004145303),,1,1,
VFG048608(gb|WP_014599302),,1,1,
VFG048609(gb|WP_004213923),,1,1,
VFG048610(gb|WP_004145304),,1,1,
VFG048614(gb|WP_022065355),,1,1,
VFG048617(gb|WP_004150817),,2,2,
VFG048618(gb|WP_004213924),,1,1,
VFG048619(gb|WP_041937604),,2,2,
VFG048620(gb|WP_014907843),,2,2,
VFG048621(gb|WP_004213924),,1,1,
VFG048623(gb|WP_012968568),,1,1,
VFG048663(gb|WP_004176431),,1,1,
VFG048664(gb|WP_004176431),,1,1,
VFG048665(gb|WP_004176431),,1,1,
VFG048666(gb|WP_004140195),,1,1,
VFG048682(gb|WP_002902160),,1,1,
VFG048685(gb|WP_002902160),,1,1,
VFG048686(gb|WP_002902160),,1,1,
VFG048687(gb|WP_002902160),,1,1,
VFG048688(gb|WP_020953393),,1,1,
VFG048689(gb|WP_002902160),,1,1,
VFG048691(gb|WP_014907724),,1,1,
VFG048692(gb|WP_012541980),,1,1,
VFG048695,,1,1,
VFG048696(gb|WP_040188146),,1,1,
VFG048697(gb|WP_015874721),,1,1,
VFG048698(gb|WP_020947550),,1,1,
VFG048699(gb|WP_012968410),,1,1,
VFG048735,,10552,2,
VFG048737,,10552,2,
VFG048738(gb|WP_004224376),,10552,2,
VFG048739(gb|WP_012968403),,10552,2,
VFG048792(gb|WP_024188874),,1,1,
VFG048794(gb|WP_049256767),,1,1,
VFG048795(gb|WP_004175261),,1,1,
VFG048796(gb|WP_015958696),,1,1,
VFG048797(gb|WP_004175261),,1,1,
VFG048799(gb|WP_024188874),,1,1,
VFG048805(gb|WP_020956624),,1,1,
VFG048806(gb|WP_004899416),,1,1,
VFG048808(gb|WP_004899416),,1,1,
VFG048839(gb|WP_041937831),,11,2,
VFG048869(gb|WP_012541081),,1,1,
VFG048949(gb|WP_004184823),,1,1,
VFG048960(gb|WP_014599212),,1,1,
VFG048963(gb|WP_004899416),,1,1,
VFG048970(gb|WP_004175261),,1,1,
VFG048973(gb|WP_000704907),,1,1,
VFG048982(gb|WP_004899416),,1,1,
VFG048987(gb|WP_000704907),,1,1,
VFG048990(gb|WP_001741945),,1,1,
VFG048992(gb|WP_004151150),,1,1,
VFG048993(gb|WP_001741945),,1,1,
VFG048998(gb|WP_011154608),,1,1,
VFG049004(gb|WP_032419820),,1,1,
VFG049005(gb|WP_004180447),,1,1,
VFG049007(gb|WP_002911561),,1,1,
VFG049008(gb|WP_004141142),,1,1,
VFG049035(gb|WP_012541094),,1,1,
VFG049037(gb|WP_020956641),,1,1,
VFG049042(gb|WP_012967600),,1,1,
VFG049174(gb|WP_012540699),,1,1,
VFG049175(gb|WP_009485633),,1,1,
VFG049180(gb|WP_181446003),,1,1,
VFG049181(gb|WP_170919772),,1,1,
VFG049182(gb|WP_020948164),,1,1,
VFG049191(gb|WP_014907101),,2,1,
VFG049192(gb|WP_008806080),,1,1,
VFG049194(gb|WP_004150973),,2,1,
VFG049195(gb|WP_004150973),,2,1,
VFG049196(gb|WP_004890358),,2,1,
VFG049197(gb|WP_032452026),,2,1,
VFG049198(gb|WP_008806080),,2,1,
VFG049248(gb|WP_123809090),,13,2,
VFG049251(gb|WP_012541328),,1,1,
VFG049252(gb|WP_004899005),,1,1,
VFG049313(gb|WP_002910453),,1,1,
VFG049314(gb|WP_012541334),,1,1,
VFG049316(gb|WP_002910453),,1,1,
VFG049317(gb|WP_002910453),,1,1,
VFG049318,,1,1,
VFG049320(gb|WP_002910453),,1,1,
VFG049321(gb|WP_012541334),,1,1,
VFG049322(gb|WP_004145442),,1,1,
VFG049325(gb|WP_004200293),,1,1,
VFG049326(gb|WP_004898985),,1,1,
VFG049327(gb|WP_004145442),,1,1,
VFG049329(gb|WP_004145442),,1,1,
VFG049835(gb|WP_012076956),,35,1,
VFG049843(gb|WP_003155066),,35,1,
VFG049850(gb|WP_000645747),,1,1,
VFG049851(gb|WP_000645780),,1,1,
VFG049852(gb|WP_000645787),,1,1,
VFG049854(gb|WP_000645753),,1,1,
VFG049857(gb|WP_000645791),,1,1,
VFG049902(gb|WP_011310140),,1,1,
VFG049916(gb|WP_000103365),,1,1,
VFG049917(gb|WP_000508696),,1,1,
VFG050398(gb|WP_000347036.1),,1,1,
VFG050400(gb|WP_000347039.1),,1,1,
VFG050404(gb|WP_000347035.1),,1,1,
VFG050406(gb|WP_000347036.1),,1,1,
VFG050413(gb|WP_000537692.1),,1,1,
VFG050414(gb|WP_002027454.1),,1,1,
VFG050416(gb|WP_005136899.1),,1,1,
VFG050418(gb|WP_004738086.1),,1,1,
VFG050420(gb|WP_004738086.1),,1,1,
VFG050440(gb|WP_000993717.1),,1,1,
VFG050443(gb|WP_000993715.1),,1,1,
VFG050455(gb|WP_001274987.1),,2,1,
VFG050456(gb|WP_001274994.1),,2,1,
VFG050457(gb|WP_001274990.1),,2,1,
VFG050461(gb|WP_001274989.1),,2,1,
VFG050463(gb|WP_001274986.1),,2,1,
VFG050470(gb|WP_000279216.1),,1,1,
VFG050472(gb|WP_000279216.1),,1,1,
VFG050474(gb|WP_000279215.1),,1,1,
VFG050476(gb|WP_000279215.1),,1,1,
VFG050496(gb|WP_000755275.1),,1,1,
VFG050497(gb|WP_000755285.1),,1,1,
VFG050499(gb|WP_000755268.1),,1,1,
VFG050502(gb|WP_000755281.1),,1,1,
VFG050503(gb|WP_020752706.1),,1,1,
VFG050505(gb|WP_000755276.1),,1,1,
VFG050508(gb|WP_000755111.1),,1,1,
VFG050524(gb|WP_085916952.1),,1,1,
VFG050525(gb|WP_002194578.1),,1,1,
VFG050526(gb|WP_000546629.1),,1,1,
VFG050527(gb|WP_002194578.1),,1,1,
VFG050530(gb|WP_002194578.1),,1,1,
VFG050532(gb|WP_002194578.1),,1,1,
VFG050537(gb|WP_000079200.1),,1,1,
VFG050538(gb|WP_000079197.1),,1,1,
VFG050540(gb|WP_000079192.1),,1,1,
VFG050544(gb|WP_000079199.1),,1,1,
VFG050546(gb|WP_000079197.1),,1,1,
VFG050564(gb|WP_000768968.1),,3,1,
VFG050565(gb|WP_000768943.1),,4,2,
VFG050567(gb|WP_000768964.1),,3,1,
VFG050570(gb|WP_000768970.1),,3,1,
VFG050571(gb|WP_020753491.1),,3,1,
VFG050572(gb|WP_020752638.1),,3,1,
VFG050573(gb|WP_000768961.1),,3,2,
VFG050581(gb|WP_001046420.1),,2,1,
VFG050583(gb|WP_001046489.1),,3,2,
VFG050585(gb|WP_020753490.1),,3,2,
VFG050587(gb|WP_001046490.1),,2,1,
VFG050670(gb|WP_000505931.1),,1,1,
VFG050672(gb|WP_000505931.1),,1,1,
VFG050674(gb|WP_000505932.1),,1,1,
VFG050676(gb|WP_000505931.1),,1,1,
VFG050679(gb|WP_000505928.1),,1,1,
VFG050682(gb|WP_001160333.1),,1,1,
VFG050683(gb|WP_001160337.1),,1,1,
VFG050685(gb|WP_001160337.1),,1,1,
VFG050688(gb|WP_002001070.1),,1,1,
VFG050689(gb|WP_002037247.1),,1,1,
VFG050691(gb|WP_001160336.1),,1,1,
VFG050740(gb|WP_001196426.1),,1,1,
VFG050742(gb|WP_001196426.1),,1,1,
VFG050746(gb|WP_001196426.1),,1,1,
VFG050748(gb|WP_001196428.1),,1,1,
VFG050751(gb|WP_001196431.1),,1,1,
VFG050770(gb|WP_001020910.1),,1,1,
VFG050772(gb|WP_001020922.1),,1,1,
VFG050776(gb|WP_020753341.1),,1,1,
VFG050778(gb|WP_001020916.1),,1,1,
VFG050781(gb|WP_001020905.1),,1,1,
VFG050857(gb|WP_000301476.1),,1,1,
VFG050858(gb|WP_000301478.1),,1,1,
VFG050860(gb|WP_000301479.1),,1,1,
VFG050863(gb|WP_001218621.1),,1,1,
VFG050865(gb|WP_000301468.1),,1,1,
VFG050868(gb|WP_000301482.1),,1,1,
VFG050944(gb|WP_000083629.1),,1,1,
VFG050946(gb|WP_000083625.1),,1,1,
VFG050950(gb|WP_000083629.1),,1,1,
VFG050954(gb|WP_000083625.1),,1,1,
VFG051026(gb|WP_000471444.1),,2,1,
VFG051028(gb|WP_000471445.1),,2,1,
VFG051032(gb|WP_000471441.1),,2,1,
VFG051036(gb|WP_000471440.1),,2,1,
VFG051040(gb|WP_000653195.1),,1,1,
VFG051042(gb|WP_000653195.1),,1,1,
VFG051044(gb|WP_000653195.1),,1,1,
VFG051046(gb|WP_000653195.1),,1,1,
VFG051050(gb|WP_000653195.1),,1,1,
VFG051082(gb|WP_000020713.1),,1,1,
VFG051084(gb|WP_000020713.1),,1,1,
VFG051088(gb|WP_020753007.1),,1,1,
VFG051092(gb|WP_000020714.1),,1,1,
VFG051097(gb|WP_000096545.1),,2,1,
VFG051098(gb|WP_002001416.1),,2,1,
VFG051100(gb|WP_000987834.1),,2,1,
VFG051102(gb|WP_002009235.1),,2,1,
VFG051106(gb|WP_134815913.1),,2,1,
VFG051486(gb|WP_003140107.1),,2893,2,
VFG051492(gb|WP_011532201.1),,1,1,
VFG051493(gb|WP_011333754.1),,4,2,
VFG051494(gb|WP_011105496.1),,1,1,
VFG051809(gb|WP_003244989.1),,1,1,
VFG051822(gb|WP_012613443.1),,5057,2,
VFG051823(gb|WP_011979148.1),,23,1,
VFG051825(gb|WP_003136992.1),,5563,2,
VFG051835(gb|WP_011979143.1),,10371,2,
VFG051837(gb|WP_003083691.1),,10928,2,
